Name,gp,min,fgp,ftp,3pm,reb,ass,stl,bl,TOs,ppg,ftm,fta,fgm,fga
Al Horford,67,25.9,.507,.853,1.6,6.1,2.5,0.6,0.9,0.7,8.4,1.18,1.39,2.81,5.54
Bobby Portis,79,26.0,.503,.786,1.4,8.2,1.3,0.8,0.4,1.2,14.4,2.12,2.7,5.44,10.81
Chris Paul,64,25.7,.443,.828,1.3,3.7,6.7,1.2,0.1,1.3,9.2,1.5,1.81,3.2,7.23
Keldon Johnson,70,29.8,.454,.788,1.9,5.5,2.8,0.7,0.4,1.5,16.1,2.53,3.21,5.83,12.85
Ayo Dosunmu,77,31.3,.501,.796,1.5,3.1,3.4,0.9,0.6,1.5,12.2,1.77,2.23,4.46,8.91
Patrick Williams,66,30.6,.446,.795,1.5,4.3,1.7,1.0,0.9,1.5,11.2,1.77,2.22,3.97,8.89
Deandre Ayton,64,28.8,.580,.789,0.0,9.8,1.5,0.8,0.7,1.6,15.5,2.25,2.86,6.62,11.42
Royce O'Neale,78,26.7,.400,.702,1.9,4.8,2.9,0.8,0.6,1.0,7.9,1.08,1.54,2.46,6.15
Kentavious Caldwell-Pope,76,31.4,.456,.877,1.7,2.6,2.4,1.3,0.5,1.0,10.5,1.71,1.94,3.55,7.78
Gary Trent Jr.,70,29.5,.426,.810,2.6,2.6,1.7,1.2,0.3,0.7,14.8,2.34,2.89,4.93,11.57
Aaron Gordon,74,31.2,.552,.655,0.7,6.4,3.3,0.8,0.6,1.5,14.4,1.77,2.7,5.97,10.81
Vince Williams Jr.,66,26.6,.439,.803,1.4,5.3,3.2,0.9,0.6,1.7,9.5,1.51,1.88,3.3,7.51
Scotty Pippen Jr.,62,21.3,.490,.734,1.2,2.7,3.9,1.5,0.4,2.2,10.9,1.53,2.08,4.09,8.34
Kel'el Ware,70,22.1,.571,.724,0.5,5.2,0.9,0.8,1.3,1.1,11.7,1.53,2.12,4.83,8.47
Kelly Olynyk,75,23.0,.545,.833,0.8,5.3,4.3,0.9,0.4,2.0,10.0,1.48,1.77,3.86,7.09
Onyeka Okongwu,69,25.8,.623,.780,0.3,7.2,1.3,0.6,1.2,0.9,10.4,1.37,1.75,4.37,7.01
Ivica Zubac,71,26.7,.646,.714,0.0,9.3,1.3,0.3,1.2,1.2,11.4,1.38,1.94,5.01,7.75
Aaron Nesmith,73,27.4,.484,.791,1.9,3.8,1.5,0.9,0.6,0.9,11.9,1.7,2.14,4.15,8.58
Jordan Clarkson,68,30.9,.416,.873,1.8,3.5,4.9,0.6,0.1,2.7,17.6,3.28,3.76,6.26,15.04
Duncan Robinson,70,29.3,.438,.890,2.9,2.7,2.7,0.7,0.2,1.4,13.2,2.09,2.34,4.11,9.38
Bilal Coulibaly,70,30.4,.445,.708,1.2,4.5,2.1,1.0,0.8,1.5,9.6,1.39,1.97,3.5,7.87
Grant Williams,77,30.4,.458,.774,1.8,4.7,2.3,0.6,0.6,1.4,10.8,1.57,2.03,3.72,8.11
Matas Buzelis,70,28.3,.459,.827,0.4,4.8,2.7,1.1,0.7,1.6,12.0,2.13,2.58,4.73,10.31
Kevin Porter Jr.,62,23.2,.420,.677,1.8,3.3,4.4,0.9,0.3,2.3,11.9,1.69,2.5,4.2,10.01
Bennedict Mathurin,70,30.3,.445,.824,1.5,4.6,2.2,0.7,0.4,1.9,17.1,2.93,3.56,6.33,14.23
Luguentz Dort,75,28.9,.421,.811,1.9,3.8,1.6,0.9,0.5,1.0,11.7,1.9,2.35,3.95,9.38
Wendell Carter Jr.,68,26.9,.525,.701,1.2,7.7,2.0,0.6,0.5,1.4,12.3,1.59,2.26,4.76,9.06
Bojan Bogdanovic,70,30.2,.462,.829,2.6,3.4,2.0,0.6,0.1,2.0,18.2,2.86,3.45,6.37,13.79
Santi Aldama,69,24.6,.441,.654,1.5,5.4,1.9,0.6,0.8,1.0,9.9,1.31,2.01,3.54,8.03
Keyonte George,72,28.6,.417,.861,2.1,3.0,4.7,0.5,0.1,2.7,14.4,2.52,2.93,4.89,11.72
Andre Drummond,76,19.5,.564,.579,0.0,10.1,0.7,1.1,0.7,1.3,9.3,1.06,1.83,4.12,7.31
Andrew Wiggins,71,28.2,.457,.719,1.5,4.6,1.8,0.7,0.6,1.3,14.1,2.07,2.88,5.26,11.52
Isaiah Stewart,67,29.6,.481,.746,1.3,7.2,1.5,0.4,0.8,1.4,10.6,1.51,2.02,3.89,8.1
Norman Powell,73,29.2,.484,.825,2.4,2.9,1.3,0.7,0.3,1.1,16.0,2.39,2.9,5.61,11.58
Jalen Smith,71,21.5,.557,.718,1.1,6.9,1.2,0.4,0.8,1.0,11.8,1.48,2.07,4.61,8.27
Cole Anthony,75,23.8,.433,.838,1.2,4.1,3.3,0.8,0.4,1.6,12.2,2.14,2.56,4.43,10.23
Robert Williams III,63,20.6,.740,.667,0.0,7.0,1.3,0.6,1.3,0.8,6.9,0.7,1.05,3.1,4.19
Kyle Anderson,76,23.5,.469,.708,0.3,4.0,4.2,1.0,0.7,1.2,7.1,1.08,1.52,2.86,6.1
Jaden McDaniels,73,30.3,.493,.726,1.3,3.5,1.5,0.9,0.7,1.3,11.1,1.52,2.1,4.14,8.39
Kevin Huerter,70,25.3,.453,.762,2.0,3.4,2.6,0.8,0.3,0.9,11.1,1.58,2.07,3.76,8.3
Spencer Dinwiddie,76,26.5,.408,.803,1.6,2.7,4.6,0.6,0.3,1.2,10.9,1.84,2.29,3.73,9.15
Zaccharie Risacher,70,29.6,.442,.820,0.4,4.9,2.3,0.9,0.7,1.8,12.5,2.28,2.78,4.91,11.11
Ron Holland II,70,24.9,.449,.758,0.2,5.7,1.6,0.9,0.9,1.1,9.5,1.62,2.14,3.84,8.55
Nick Richards,70,25.5,.679,.740,0.0,7.9,0.8,0.4,1.1,1.1,9.7,1.16,1.57,4.27,6.29
Steven Adams,72,22.7,.552,.518,0.0,8.8,2.8,0.7,0.7,1.3,6.2,0.65,1.26,2.77,5.03
Corey Kispert,79,27.5,.485,.734,2.4,3.0,2.0,0.5,0.2,1.2,13.9,1.83,2.49,4.84,9.97
Mitchell Robinson,52,21.4,.641,.447,0.0,7.3,0.6,0.9,1.2,0.7,5.5,0.44,0.99,2.53,3.95
Paul Reed,75,18.1,.546,.720,0.2,5.6,1.2,0.8,1.0,0.8,6.8,0.93,1.3,2.83,5.19
Andrew Nembhard,70,27.8,.492,.810,1.0,2.4,4.6,1.0,0.1,1.7,10.2,1.57,1.94,3.81,7.75
Tre Jones,76,23.8,.501,.858,0.7,3.2,5.3,0.9,0.1,1.3,8.7,1.41,1.64,3.29,6.58
T.J. McConnell,70,18.7,.554,.810,0.3,2.8,5.5,1.0,0.1,1.6,10.0,1.5,1.85,4.1,7.4
Terance Mann,77,31.3,.511,.809,1.2,4.5,2.3,0.7,0.3,0.9,11.3,1.67,2.06,4.22,8.25
Rui Hachimura,70,27.1,.529,.736,1.4,4.5,1.2,0.6,0.4,0.7,13.6,1.81,2.46,5.2,9.82
Bruce Brown,71,26.7,.480,.817,0.8,4.1,2.8,0.9,0.3,1.2,10.4,1.68,2.06,3.96,8.25
Harrison Barnes,81,30.7,.473,.825,1.8,3.8,1.5,0.7,0.1,0.9,13.6,2.11,2.56,4.84,10.24
Payton Pritchard,79,21.6,.465,.818,1.8,3.1,3.3,0.5,0.1,0.7,9.4,1.37,1.67,3.12,6.7
Obi Toppin,79,20.2,.556,.768,1.3,3.7,1.5,0.5,0.5,0.8,9.8,1.25,1.63,3.62,6.52
Rob Dillingham,70,16.8,.422,.745,1.0,1.9,2.7,0.7,0.1,1.6,9.0,1.45,1.94,3.28,7.77
